name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,name2,five_utr_len,cds_len,three_utr_len,total_exonic_len,is_ncrna
NM_011221,chr11,-,6367601,6376079,6374914,6375889,Purb,190,975,7313,8478,False
NM_175551,chr2,-,180392667,180436807,180394043,180424358,Dido1,329,6771,1376,8476,False
NM_175179,chrX,-,92615652,92640179,92620450,92623849,Amer1,271,3399,4798,8468,False
NM_001081557,chr4,-,150433631,151235877,150436931,151235778,Camta1,99,5049,3300,8448,False
NM_021521,chrX,+,98469429,98494273,98469599,98492569,Med12,170,6573,1704,8447,False
NM_172493,chrX,+,126284277,127000369,126284511,126995471,Diaph2,234,3309,4898,8441,False
NM_198652,chr1,-,90155430,90174154,90161755,90174044,Hjurp,110,2004,6325,8439,False
NM_008130,chr13,+,15555555,15821858,15569873,15818614,Gli3,430,4752,3244,8426,False
NM_010233,chr1,-,71632046,71699808,71632785,71699556,Fn1,252,7434,739,8425,False
NM_001081221,chr14,+,33326706,33394176,33330142,33390288,Ercc6,89,4446,3888,8423,False
NM_009952,chr1,+,64579377,64651122,64597430,64643952,Creb1,225,1026,7170,8421,False
NM_001127177,chr18,-,67825154,67884275,67832226,67884164,Ptpn2,111,1221,7072,8404,False
NM_015734,chr2,+,27741944,27895030,27742335,27892536,Col5a1,391,5517,2494,8402,False
NM_138651,chr2,+,132088883,132137786,132089179,132131021,Cds2,296,1335,6765,8396,False
NM_172739,chr7,-,17079821,17200342,17083001,17150487,Arhgap35,713,4500,3180,8393,False
NM_023662,chr8,+,42325112,42419441,42341368,42417362,Pcm1,224,6078,2079,8381,False
NM_009951,chr11,-,95818477,95867258,95824813,95866947,Igf2bp1,311,1734,6336,8381,False
NM_001037937,chr15,+,54964990,55090828,54965029,55083690,Deptor,39,1194,7138,8371,False
NM_054078,chr10,+,127529838,127566359,127545951,127563809,Baz2a,155,5664,2550,8369,False
NM_001039376,chr3,-,97493751,97692630,97494734,97692593,Pde4dip,37,7341,983,8361,False
NM_010227,chrX,-,71468799,71491873,71469128,71491775,Flna,98,7920,329,8347,False
NM_134063,chr13,-,3565280,3610354,3565909,3599210,Tasor2,560,7149,629,8338,False
NM_133919,chr5,+,104183180,104284341,104183347,104279842,Aff1,167,3657,4499,8323,False
